number;quantity;;;;;;;;;;;;;
-56;18;;;;;;;;;;;;;
-55;16;;;;;;;;;;;;;
-54;26;;;;;;;;;;;;;
-53;17;;;;;;;;;;;;;
-52;39;;;;;;;;;;;;;
-51;26;;;;;;;;;;;;;
-50;23;;;;;;;;;;;;;
-49;43;;;;;;;;;;;;;
-48;48;;;;;;;;;;;;;
-47;38;;;;;;;;;;;;;
-46;57;;;;;;;;;;;;;
-45;46;;;;;;;;;;;;;
-44;52;;;;;;;;;;;;;
-43;45;;;;;;;;;;;;;
-42;59;;;;;;;;;;;;;
-41;68;;;;;;;;;;;;;
-40;70;;;;;;;;;;;;;
-39;92;;;;;;;;;;;;;
-38;84;;;;;;;;;;;;;
-37;96;;;;;;;;;;;;;
-36;98;;;;;;;;;;;;;
-35;125;;;;;;;;;;;;;
-34;150;;;;;;;;;;;;;
-33;154;;;;;;;;;;;;;
-32;165;;;;;;;;;;;;;
-31;177;;;;;;;;;;;;;
-30;190;;;;;;;;;;;;;
-29;226;;;;;;;;;;;;;
-28;208;;;;;;;;;;;;;
-27;264;;;;;;;;;;;;;
-26;317;;;;;;;;;;;;;
-25;359;;;;;;;;;;;;;
-24;373;;;;;;;;;;;;;
-23;408;;;;;;;;;;;;;
-22;490;;;;;;;;;;;;;
-21;561;;;;;;;;;;;;;
-20;703;;;;;;;;;;;;;
-19;832;;;;;;;;;;;;;
-18;963;;;;;;;;;;;;;
-17;1140;;;;;;;;;;;;;
-16;1336;;;;;;;;;;;;;
-15;1719;;;;;;;;;;;;;
-14;2184;;;;;;;;;;;;;
-13;2605;;;;;;;;;;;;;
-12;3103;;;;;;;;;;;;;
-11;3792;;;;;;;;;;;;;
-10;4785;;;;;;;;;;;;;
-9;5653;;;;;;;;;;;;;
-8;6764;;;;;;;;;;;;;
-7;8052;;;;;;;;;;;;;
